country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995,,,,,,,0.991,,,0.989
Algeria,,,,,,,,,,,,,0.622,,,,,,,,,,,,,,,0.861,,,,0.891,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,0.632,,,,,,,,,,0.661
Argentina,,,,,,0.973,,,,,,,,,,,0.985,,,,,,,,,,0.991,,,,,,,,,,0.994
Armenia,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,0.999,,,,,,,,,,0.998
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,1,,1,,
Bahrain,,,,,,,0.821,,,,,,,,,,0.966,,,,,,,,,,0.973,,,,,,,,,0.976,
Bangladesh,,,,,,,0.271,,,,,,,,,,0.38,,,,,,,,,,0.603,,,,,,,,,,0.804
Belarus,,,,,,,,,,,,,,,0.998,,,,,,,,,,0.998,,,,,,,,,,0.998,,
Belize,,,,,,,,,,,,,,,,,0.767,,,,,,,,,,,,,,,,,,,,
Benin,,,,,0.183,,,,,,,,,,,,,0.267,,,,,,,,,,0.332,,,,0.308,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,
Bolivia,,0.758,,,,,,,,,,,,,,,,0.916,,,,,,,,,0.961,,,,,,0.991,0.989,0.991,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,,0.997
Botswana,,,,,,,,,,,,,,,,,0.923,,,,,,,,,,,,0.956,,,,,,,,0.97
Brazil,,,,,,0.852,,,,,,,,,,,,,,,,,,,,0.957,,,,0.979,,0.984,0.986,0.985,0.987,0.983,
Brunei,,,,,,,0.932,,,,,,,,,,0.981,,,,,,,,,,0.989,,,,,,,,,,0.997
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,0.981,,,,,,,,,,0.977
Burkina Faso,0.0666,,,,,,,,,,,,,,,,0.142,,,,,0.14,,,,,,,0.248,,0.265,,0.331,,,,
Burundi,,,,,0.215,,,,,,,,,,,0.48,,,,,,,,,,0.704,,,,,,,,0.881,,,
