country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,0.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,0.985,,,0.987
Algeria,,,,,,,,,,,,,0.862,,,,,,,,,,,,,,,0.941,,,,0.944,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,0.838,,,,,,,,,,0.801
Argentina,,,,,,0.965,,,,,,,,,,,0.981,,,,,,,,,,0.987,,,,,,,,,,0.99
Armenia,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,0.998,,,,,,,,,,0.997
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,1,,1,,
Bahrain,,,,,,,0.897,,,,,,,,,,0.973,,,,,,,,,,0.968,,,,,,,,,0.986,
Bangladesh,,,,,,,0.444,,,,,,,,,,0.517,,,,,,,,,,0.672,,,,,,,,,,0.771
Belarus,,,,,,,,,,,,,,,0.997,,,,,,,,,,0.998,,,,,,,,,,0.998,,
Belize,,,,,,,,,,,,,,,,,0.761,,,,,,,,,,,,,,,,,,,,
Benin,,,,,0.457,,,,,,,,,,,,,0.551,,,,,,,,,,0.592,,,,0.549,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,
Bolivia,,0.915,,,,,,,,,,,,,,,,0.963,,,,,,,,,0.985,,,,,,0.998,0.994,0.997,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,,0.997
Botswana,,,,,,,,,,,,,,,,,0.859,,,,,,,,,,,,0.921,,,,,,,,0.935
Brazil,,,,,,0.826,,,,,,,,,,,,,,,,,,,,0.927,,,,0.958,,0.968,0.971,0.972,0.975,0.967,
Brunei,,,,,,,0.941,,,,,,,,,,0.981,,,,,,,,,,0.989,,,,,,,,,,0.998
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,0.983,,,,,,,,,,0.981
Burkina Faso,0.224,,,,,,,,,,,,,,,,0.268,,,,,0.255,,,,,,,0.384,,0.404,,0.467,,,,
Burundi,,,,,0.409,,,,,,,,,,,0.595,,,,,,,,,,0.768,,,,,,,,0.896,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,0.818,,,,,,0.879,,,,0.894,0.884,,
Cameroon,,0.796,,,,,,,,,,,,,,,,,,,,,,,,0.884,,,,,,,0.894,,,0.854,
Cape Verde,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,0.962,,,,,,,0.977
Central African Republic,0.54,,,,,,,,,,,,,0.626,,,,,,,,,,,,0.726,,,,,,,,,,,0.723
Chad,,,,,,,,,,,,,,,,,,,0.263,,,,,,,0.557,,,,0.537,,,,,,,0.536
Chile,,,,,,,,0.962,,,,,,,,,,0.982,,,,,,,,,,0.988,,,,,,0.991,0.989,,
China,,,,,,,,0.952,,,,,,,,0.97,,,,,,,,,,0.992,,,,,,,,,,0.997,
Colombia,,,,,,,,,,,,,,,,,,,0.894,,,0.964,,,,,,,,0.975,0.975,0.975,0.975,0.975,0.974,0.977,0.978
Comoros,,,,,,0.694,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,0.861
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,0.789,,,,
Costa Rica,,,,,,,,,,0.968,,,,,,,,,,,,,,,,0.972,,,,,,,,,,,0.979
Cote d'Ivoire,,,,,,,,,,,,,,0.599,,,,,,,,,,0.544,,0.708,,,,,,,,,,,0.723
Croatia,,,,,,,,,,,,,,,,,0.997,,,,,,,,,,0.996,,,,,,,,,,0.996
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
Cyprus,,,,,,,,,,,,,,,,,,0.996,,,,,,,,,0.997,,,,,,,,,,0.998
Dominican Republic,,,,,,,0.813,,,,,,,,,,,,,,,,,,,,,0.93,,,,,0.946,,,0.958,0.961
Ecuador,,,,,,,,0.945,,,,,,,,0.966,,,,,,,,,,,0.964,,,,,,0.952,,0.968,0.985,0.986
Egypt,,0.63,,,,,,,,,,0.714,,,,,,,,,,0.79,,,,,,,,,0.901,0.879,,,,0.906,0.915
El Salvador,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,0.869,,0.944,0.932,0.954,0.947,0.957,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,0.976,,,,,,,,,,,0.977
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.863,,,,,,,,,0.926
Estonia,,,,,,,,,,,,,,,0.998,,,,,,,,,,,0.997,,,,,,,,,,,0.998
Eswatini,,0.761,,,,,,,,,,0.831,,,,,,,,,,,,,,0.907,,,,,,,,,,,0.922
Ethiopia,,,,,,,,,,,,,,,,,,,,0.393,,,,,,,,,,0.622,0.559,,0.63,,,,
Gabon,,,,,,,,,,,,,,,,,,,0.944,,,,,,,,,,,0.978,,,,,,,0.988
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,0.643,,,,,,,,,,,0.726
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,0.998
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,0.883,
Greece,,,,,,,0.99,,,,,,,,,,0.99,,,,,,,,,,0.989,,,,,,,,,,0.994
Guatemala,,,,,,,,,,,,,,,,,,,,0.817,,,,,,,,0.864,,,,,,,,,0.893
Guinea,,,,,,,,,,,,,,,,,,,,,,0.441,,,,,,,0.595,,,,,,,0.376,
Guinea-Bissau,,,,,0.597,,,,,,,,,,,,,,,,,,,,,0.748,,,,,,,,,,,0.793
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.924,,
Haiti,,,,,,,,0.513,,,,,,,,,,,,,,,,,,,,,0.827,,,0.744,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,0.869,,,,,,0.927,,,0.945,0.949
Hungary,,,,,,0.994,,,,,,,,,,,,,,0.991,,,,,,,,,,0.989,,,,,,,0.988
India,,,,,,,0.663,,,,,,,,,,0.735,,,,,,,,,,0.842,,,,,0.884,,,,,
Indonesia,,,,,,0.896,,,,,,,,,,0.974,,,,,,,,,,,,,,0.989,,0.97,,0.995,0.995,,0.988
Iran,,0.709,,,,,,,,,,0.845,,,,,0.924,,,,,0.955,,,,,,,,,0.981,0.972,,0.988,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,0.889,,,,,,,,,,,0.841
Israel,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,0.997,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,0.999
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,0.873,,,,,,,,,,,,0.929
Jordan,,,,,0.958,,,,,,,,,,,,,,,,,,,,,,,,0.993,,0.989,,0.99,,,0.988,0.99
Kazakhstan,,,,,,,,,,,,,,,0.997,,,,,,,,,,0.998,,,,,,,,,,0.998,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,0.933,,,,,,,0.832,,,,
Kuwait,0.777,,,,,0.813,,,,,0.907,,,,,,,,,,0.938,,,,,,,,,,0.997,0.985,0.984,0.986,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,0.997,,,,,,,,,,0.997,,
Lao,,,,,,,,,,,,,,,,,,,,,0.788,,,,,0.881,0.826,,,,0.892,,,,,,
Latvia,,,,,,,,,,,,,,,0.998,,,,,,,,,,,0.997,,,,,,,,,,,0.997
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.984,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,0.848,,,,,,,,,0.742,,
Liberia,,,,,,,,,,0.628,,,,,,,,,,0.658,,,,,,,,,,0.691,,,0.635,,,,
Libya,,,,,,,,,,0.978,,,,,,,,,,0.994,,,,,,,,,,0.998,,,,,,,0.999
Lithuania,,,,,,,,,,,,,,,0.996,,,,,,,,,,,,0.997,,,,,,,,,,0.998
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,0.727,,,,,,,,,0.659,,
Malawi,,,,,,,,,,,,,0.704,,,,,,,,,,,0.821,,,,,,,,,,,,0.743,
Malaysia,,,,,,0.895,,,,,,,,,,,0.959,,,,,,,,,0.972,,,,,,,,,,0.984,
Maldives,,,0.841,,,,,,,,0.949,,,,,0.981,,,,,0.98,,,,,0.98,,,,,,0.992,,,,,
Mali,,0.267,,,,,,,,,,,,,,,,,,,,,,0.323,,,,,,,,0.474,,,,0.564,0.56
Malta,,,,,,,,,,,0.974,,,,,,,,,,0.944,,,,,,,,,,0.975,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,0.677,,,,,,,,,,,0.716
Mauritius,,,,,,,,,,,,,,,,0.907,,,,,,,,,,0.937,,,,,,,,,,,0.958
Mexico,,,,,,0.931,,,,,,,,,,0.96,,,,,,,,,,0.968,,0.979,,0.975,0.976,0.981,0.982,0.984,0.987,0.984,0.984
Moldova,,,,,,,,,,,,,,,0.997,,,,,,,,,,,0.994,,,,,,,,,,,1
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,0.941
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993
Morocco,,,,,,,,0.581,,,,,,,,,,,,0.714,,,,,,,,,,0.808,,,,0.858,0.867,,0.888
Mozambique,,,,,,0.64,,,,,,,,,,,,,,,,,0.595,,,,,,0.744,,,,,,0.798,,
Myanmar,,,,,,,,,0.886,,,,,,,,,,,,,,,,,0.958,,,,,,,,,,,0.963
Namibia,,,,,,,,,,,,,,,,,0.857,,,,,,,,,,0.912,,,,,,0.832,,,,
Nepal,,,,,,,0.451,,,,,,,,,,0.682,,,,,,,,,,0.806,,,,,,,,,,0.892
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,0.836,,,,0.852,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137,,,,0.525,,,,,,
Nigeria,,,,,,,,,,,,,,,,,0.814,,,,,,,,,,,,0.781,,,,,0.756,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,0.991,,,,,,,,0.99,,,,,,,,,0.988
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.979,,,,,0.976,,0.974,
Pakistan,,,,,,,0.445,,,,,,,,,,,,,,,,,0.672,,,,,,,0.767,0.791,,0.794,0.791,,
Palau,,,,,,0.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,0.969,,,,,,,0.99,,0.99,0.991,0.993,0.992,0.992,0.993
Panama,,,,,,0.959,,,,,,,,,,0.954,,,,,,,,,,0.965,,,,,,,,,,0.979,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,0.691,,,,,,,,,,,0.67
Paraguay,,,,,,,,0.902,,,,,,,,,,0.959,,,,,,,,,,,,,,,0.988,0.977,0.98,0.985,
