country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,0.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,0.988,,,0.988
Algeria,,,,,,,,,,,,,0.743,,,,,,,,,,,,,,,0.901,,,,0.918,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,0.722,,,,,,,,,,0.73
Argentina,,,,,,0.969,,,,,,,,,,,0.983,,,,,,,,,,0.989,,,,,,,,,,0.992
Armenia,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,0.998,,,,,,,,,,0.998
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,1,,1,,
Bahrain,,,,,,,0.863,,,,,,,,,,0.969,,,,,,,,,,0.97,,,,,,,,,0.982,
Bangladesh,,,,,,,0.356,,,,,,,,,,0.447,,,,,,,,,,0.636,,,,,,,,,,0.787
Belarus,,,,,,,,,,,,,,,0.998,,,,,,,,,,0.998,,,,,,,,,,0.998,,
Belize,,,,,,,,,,,,,,,,,0.764,,,,,,,,,,,,,,,,,,,,
Benin,,,,,0.298,,,,,,,,,,,,,0.399,,,,,,,,,,0.453,,,,0.424,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.744,,,,,,
Bolivia,,0.835,,,,,,,,,,,,,,,,0.939,,,,,,,,,0.973,,,,,,0.994,0.991,0.994,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,,0.997
Botswana,,,,,,,,,,,,,,,,,0.893,,,,,,,,,,,,0.94,,,,,,,,0.952
Brazil,,,,,,0.839,,,,,,,,,,,,,,,,,,,,0.942,,,,0.968,,0.976,0.978,0.978,0.981,0.975,
Brunei,,,,,,,0.937,,,,,,,,,,0.981,,,,,,,,,,0.989,,,,,,,,,,0.998
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,0.982,,,,,,,,,,0.979
Burkina Faso,0.144,,,,,,,,,,,,,,,,0.202,,,,,0.194,,,,,,,0.312,,0.33,,0.393,,,,
Burundi,,,,,0.31,,,,,,,,,,,0.536,,,,,,,,,,0.733,,,,,,,,0.889,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,0.763,,,,,,0.834,,,,0.875,0.871,,
Cameroon,,0.688,,,,,,,,,,,,,,,,,,,,,,,,0.831,,,,,,,0.831,,,0.806,
Cape Verde,,,,,,,,,,,,,,,,0.882,,,,,,,,,,,,,,0.971,,,,,,,0.984
Central African Republic,0.345,,,,,,,,,,,,,0.482,,,,,,,,,,,,0.608,,,,,,,,,,,0.656
Chad,,,,,,,,,,,,,,,,,,,0.174,,,,,,,0.376,,,,0.417,,,,,,,0.479
Chile,,,,,,,,0.967,,,,,,,,,,0.984,,,,,,,,,,0.99,,,,,,0.992,0.989,,
China,,,,,,,,0.888,,,,,,,,0.943,,,,,,,,,,0.989,,,,,,,,,,0.996,
Colombia,,,,,,,,,,,,,,,,,,,0.905,,,0.97,,,,,,,,0.98,0.98,0.979,0.98,0.98,0.979,0.981,0.982
Comoros,,,,,,0.617,,,,,,,,,,,,,,,,,,,,0.802,,,,,,,,,,,0.86
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,0.704,,,,,,0.658,,,,
Costa Rica,,,,,,,,,,0.972,,,,,,,,,,,,,,,,0.976,,,,,,,,,,,0.983
Cote d'Ivoire,,,,,,,,,,,,,,0.485,,,,,,,,,,0.471,,0.607,,,,,,,,,,,0.675
Croatia,,,,,,,,,,,,,,,,,0.996,,,,,,,,,,0.997,,,,,,,,,,0.997
Cuba,,,,,,,0.996,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
Cyprus,,,,,,,,,,,,,,,,,,0.996,,,,,,,,,0.998,,,,,,,,,,0.998
Dominican Republic,,,,,,,0.826,,,,,,,,,,,,,,,,,,,,,0.942,,,,,0.958,,,0.968,0.97
Ecuador,,,,,,,,0.934,,,,,,,,0.962,,,,,,,,,,,0.964,,,,,,0.954,,0.968,0.987,0.987
Egypt,,0.51,,,,,,,,,,0.633,,,,,,,,,,0.732,,,,,,,,,0.849,0.849,,,,0.875,0.884
El Salvador,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,0.89,,0.95,0.936,0.96,0.95,0.96,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,0.971,,,,,,,,,,,0.981
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,0.901
Estonia,,,,,,,,,,,,,,,0.999,,,,,,,,,,,0.998,,,,,,,,,,,0.998
Eswatini,,0.755,,,,,,,,,,0.838,,,,,,,,,,,,,,0.919,,,,,,,,,,,0.937
Ethiopia,,,,,,,,,,,,,,,,,,,,0.336,,,,,,,,,,0.499,0.446,,0.55,,,,
Gabon,,,,,,,,,,,,,,,,,,,0.932,,,,,,,,,,,0.967,,,,,,,0.979
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,0.526,,,,,,,,,,,0.681
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,0.998
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,0.707,,,,,,,,,,0.857,
Greece,,,,,,,0.99,,,,,,,,,,0.99,,,,,,,,,,0.989,,,,,,,,,,0.993
Guatemala,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,,0.822,,,,,,,,,0.874
Guinea,,,,,,,,,,,,,,,,,,,,,,0.277,,,,,,,0.471,,,,,,,0.314,
Guinea-Bissau,,,,,0.364,,,,,,,,,,,,,,,,,,,,,0.595,,,,,,,,,,,0.732
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.931,,
Haiti,,,,,,,,0.511,,,,,,,,,,,,,,,,,,,,,0.816,,,0.723,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,0.889,,,,,,0.939,,,0.952,0.959
Hungary,,,,,,0.994,,,,,,,,,,,,,,0.992,,,,,,,,,,0.99,,,,,,,0.989
India,,,,,,,0.538,,,,,,,,,,0.619,,,,,,,,,,0.764,,,,,0.811,,,,,
Indonesia,,,,,,0.854,,,,,,,,,,0.962,,,,,,,,,,,,,,0.987,,0.967,,0.995,0.995,,0.988
Iran,,0.565,,,,,,,,,,0.752,,,,,0.87,,,,,0.93,,,,,,,,,0.974,0.966,,0.987,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,0.848,,,,,,,,,,,0.824
Israel,,,,,,,,,0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,0.996,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,0.999
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,0.916,,,,,,,,,,,,0.956
Jordan,,,,,0.905,,,,,,,,,,,,,,,,,,,,,,,,0.991,,0.99,,0.99,,,0.988,0.992
Kazakhstan,,,,,,,,,,,,,,,0.997,,,,,,,,,,0.998,,,,,,,,,,0.998,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,0.925,,,,,,,0.824,,,,
Kuwait,0.722,,,,,0.79,,,,,0.875,,,,,,,,,,0.92,,,,,,,,,,0.997,0.985,0.985,0.986,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,0.997,,,,,,,,,,0.998,,
Lao,,,,,,,,,,,,,,,,,,,,,0.711,,,,,0.806,0.785,,,,0.839,,,,,,
Latvia,,,,,,,,,,,,,,,0.998,,,,,,,,,,,0.998,,,,,,,,,,,0.997
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.987,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,0.909,,,,,,,,,0.832,,
Liberia,,,,,,,,,,0.476,,,,,,,,,,0.6,,,,,,,,,,0.712,,,0.491,,,,
Libya,,,,,,,,,,0.893,,,,,,,,,,0.979,,,,,,,,,,0.996,,,,,,,0.999
Lithuania,,,,,,,,,,,,,,,0.997,,,,,,,,,,,,0.997,,,,,,,,,,0.998
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,0.702,,,,,,,,,0.649,,
Malawi,,,,,,,,,,,,,0.59,,,,,,,,,,,0.76,,,,,,,,,,,,0.721,
Malaysia,,,,,,0.88,,,,,,,,,,,0.956,,,,,,,,,0.972,,,,,,,,,,0.984,
Maldives,,,0.856,,,,,,,,0.955,,,,,0.982,,,,,0.982,,,,,0.982,,,,,,0.993,,,,,
