country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.14,0.14,0.15,0.15,0.16,0.16,0.17,0.18,0.18,0.19,0.2,0.2,0.21,0.22
Albania,1.9,1.96,2.02,2.08,2.15,2.22,2.28,2.36,2.43,2.5,2.58,2.66,2.74,2.83,2.91,3,3.09,3.18,3.28,3.38,3.48,3.58,3.68,3.79,3.9,4.02,4.14,4.27,4.4,4.53,4.66,4.79,4.93,5.07,5.21,5.35,5.49,5.64,5.78,5.93,6.08,6.23,6.38,6.54,6.69,6.85
Algeria,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.14,0.14,0.15,0.15,0.16,0.16,0.17,0.18,0.18,0.19,0.2,0.2
Andorra,3.28,3.38,3.47,3.57,3.67,3.77,3.88,3.98,4.09,4.2,4.32,4.43,4.55,4.67,4.79,4.91,5.04,5.17,5.3,5.43,5.56,5.7,5.84,5.98,6.12,6.26,6.41,6.56,6.7,6.86,7.01,7.16,7.32,7.48,7.63,7.79,7.96,8.12,8.28,8.45,8.61,8.78,8.94,9.11,9.28,9.45
Angola,0.13,0.13,0.13,0.14,0.14,0.15,0.15,0.16,0.16,0.17,0.18,0.18,0.19,0.19,0.2,0.21,0.21,0.22,0.23,0.24,0.25,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.36,0.37,0.38,0.39,0.41,0.42,0.44,0.45,0.47,0.48,0.5,0.52,0.53,0.55,0.57
Antigua and Barbuda,5.7,5.84,5.98,6.12,6.26,6.4,6.55,6.69,6.84,6.99,7.14,7.29,7.45,7.6,7.76,7.91,8.07,8.23,8.39,8.55,8.72,8.88,9.04,9.21,9.37,9.54,9.7,9.87,10,10.2,10.4,10.5,10.7,10.9,11,11.2,11.4,11.5,11.7,11.8,12,12.2,12.3,12.5,12.7,12.8
Argentina,3.34,3.43,3.52,3.61,3.7,3.79,3.89,3.98,4.08,4.18,4.27,4.37,4.47,4.57,4.67,4.78,4.88,4.98,5.08,5.18,5.28,5.38,5.48,5.58,5.68,5.78,5.89,6,6.12,6.24,6.36,6.49,6.62,6.75,6.88,7.02,7.16,7.3,7.44,7.59,7.74,7.89,8.04,8.19,8.35,8.51
Armenia,3.23,3.32,3.41,3.51,3.61,3.71,3.82,3.92,4.03,4.14,4.26,4.37,4.49,4.61,4.74,4.86,4.99,5.12,5.25,5.38,5.52,5.66,5.8,5.95,6.09,6.24,6.39,6.55,6.7,6.86,7.02,7.18,7.34,7.5,7.66,7.83,7.99,8.16,8.33,8.49,8.66,8.83,9,9.17,9.34,9.51
Australia,5.81,5.95,6.09,6.23,6.37,6.51,6.65,6.79,6.92,7.06,7.2,7.33,7.47,7.6,7.73,7.86,7.98,8.11,8.23,8.35,8.46,8.58,8.69,8.8,8.92,9.03,9.15,9.28,9.41,9.55,9.68,9.82,9.97,10.1,10.3,10.4,10.6,10.7,10.9,11.1,11.2,11.4,11.6,11.7,11.9,12.1
Austria,4.95,5.07,5.18,5.3,5.41,5.53,5.65,5.76,5.88,6,6.11,6.23,6.35,6.46,6.58,6.69,6.8,6.91,7.02,7.13,7.23,7.33,7.43,7.53,7.62,7.71,7.83,7.95,8.08,8.2,8.34,8.47,8.61,8.75,8.89,9.03,9.18,9.33,9.48,9.63,9.79,9.94,10.1,10.3,10.4,10.6
Azerbaijan,2.75,2.83,2.91,3,3.09,3.18,3.27,3.37,3.46,3.56,3.67,3.77,3.88,3.99,4.1,4.22,4.33,4.45,4.58,4.7,4.83,4.96,5.09,5.23,5.37,5.51,5.66,5.81,5.96,6.11,6.26,6.41,6.57,6.73,6.89,7.05,7.21,7.37,7.53,7.7,7.86,8.03,8.2,8.36,8.53,8.7
Bahamas,3.72,3.82,3.93,4.04,4.15,4.26,4.37,4.49,4.61,4.73,4.85,4.97,5.1,5.23,5.36,5.49,5.62,5.76,5.9,6.04,6.18,6.32,6.46,6.61,6.76,6.91,7.06,7.21,7.36,7.52,7.68,7.84,7.99,8.15,8.32,8.48,8.64,8.81,8.97,9.13,9.3,9.47,9.63,9.8,9.97,10.1
Bahrain,0.1,0.1,0.1,0.11,0.11,0.12,0.13,0.13,0.14,0.15,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.24,0.25,0.27,0.29,0.31,0.33,0.35,0.38,0.4,0.42,0.45,0.47,0.49,0.52,0.54,0.57,0.6,0.62,0.65,0.68,0.71,0.74,0.77,0.8,0.84,0.87,0.9,0.94
Bangladesh,0.21,0.22,0.23,0.24,0.25,0.26,0.26,0.27,0.28,0.29,0.3,0.32,0.33,0.34,0.35,0.36,0.38,0.39,0.4,0.42,0.43,0.45,0.47,0.48,0.5,0.52,0.53,0.55,0.57,0.59,0.61,0.63,0.65,0.67,0.69,0.72,0.74,0.76,0.79,0.81,0.83,0.86,0.89,0.91,0.94,0.97
Barbados,1.44,1.48,1.53,1.58,1.62,1.68,1.73,1.78,1.84,1.89,1.95,2.01,2.07,2.13,2.2,2.26,2.33,2.4,2.47,2.54,2.62,2.69,2.77,2.85,2.93,3.02,3.1,3.19,3.28,3.38,3.47,3.57,3.67,3.77,3.88,3.98,4.09,4.2,4.31,4.43,4.55,4.66,4.79,4.91,5.04,5.16
Belarus,3.02,3.11,3.2,3.3,3.4,3.5,3.6,3.71,3.82,3.93,4.04,4.16,4.28,4.41,4.53,4.66,4.8,4.94,5.08,5.22,5.37,5.52,5.68,5.84,6,6.17,6.36,6.54,6.73,6.91,7.09,7.28,7.46,7.65,7.84,8.02,8.21,8.4,8.58,8.77,8.95,9.14,9.32,9.51,9.69,9.87
Belgium,4.81,4.93,5.05,5.17,5.3,5.42,5.55,5.67,5.8,5.93,6.06,6.19,6.32,6.45,6.59,6.72,6.85,6.98,7.12,7.25,7.38,7.5,7.63,7.76,7.88,8,8.13,8.27,8.41,8.56,8.7,8.85,9,9.15,9.31,9.46,9.61,9.77,9.93,10.1,10.2,10.4,10.6,10.7,10.9,11
Belize,1.98,2.04,2.1,2.17,2.23,2.3,2.37,2.44,2.51,2.58,2.66,2.74,2.82,2.9,2.98,3.06,3.15,3.24,3.33,3.42,3.52,3.61,3.71,3.81,3.92,4.02,4.12,4.23,4.34,4.45,4.56,4.67,4.79,4.91,5.03,5.16,5.28,5.41,5.54,5.67,5.81,5.95,6.08,6.22,6.37,6.51
Benin,0.08,0.08,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.14,0.14,0.15,0.15,0.16,0.17,0.17,0.18,0.19,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.34,0.35,0.36,0.38,0.39,0.4,0.42
Bhutan,0.21,0.22,0.23,0.23,0.24,0.25,0.26,0.27,0.28,0.28,0.29,0.3,0.31,0.32,0.34,0.35,0.36,0.37,0.38,0.4,0.41,0.42,0.44,0.45,0.47,0.48,0.5,0.52,0.53,0.55,0.57,0.59,0.61,0.63,0.65,0.67,0.69,0.71,0.74,0.76,0.79,0.81,0.84,0.87,0.9,0.93
Bolivia,0.89,0.92,0.95,0.98,1.01,1.05,1.08,1.12,1.15,1.19,1.23,1.27,1.31,1.35,1.39,1.44,1.48,1.53,1.58,1.63,1.68,1.73,1.79,1.84,1.9,1.96,2.02,2.08,2.14,2.21,2.27,2.34,2.41,2.48,2.56,2.63,2.71,2.79,2.87,2.95,3.04,3.13,3.22,3.31,3.4,3.5
Bosnia and Herzegovina,1.89,1.95,2.01,2.08,2.15,2.22,2.29,2.37,2.45,2.53,2.61,2.69,2.78,2.87,2.96,3.05,3.14,3.24,3.34,3.44,3.54,3.65,3.75,3.86,3.97,4.08,4.19,4.3,4.42,4.53,4.65,4.76,4.88,5,5.11,5.23,5.35,5.47,5.59,5.72,5.84,5.96,6.09,6.22,6.34,6.47
Botswana,0.26,0.27,0.29,0.3,0.31,0.32,0.34,0.35,0.37,0.39,0.41,0.43,0.45,0.47,0.5,0.52,0.55,0.58,0.62,0.65,0.7,0.74,0.79,0.84,0.9,0.96,1,1.04,1.08,1.11,1.16,1.2,1.24,1.28,1.33,1.37,1.42,1.47,1.52,1.57,1.62,1.68,1.73,1.79,1.85,1.91
